hostname;INTERFACE;RELAY_ADDRESS;
AQUICFDZEUSR1-01;Vlan10;191.254.46.226;
AQUICFDZEUSR1-01;Vlan10;184.2.20.116;
AQUICFDZEUSR1-01;Vlan15;184.6.20.20;
AQUICFDZEUSR1-01;Vlan15;184.2.37.45;
AQUICFDZEUSR1-01;Vlan15;184.0.241.85;
AQUICFDZEUSR1-01;Vlan15;184.2.37.85;
AQUICFDZEUSR1-01;Vlan16;175.128.200.97;
AQUICFDZEUSR1-01;Vlan16;175.128.73.135;
AQUICFDZEUSR1-01;Vlan16;184.12.17.122;
AQUICFDZEUSR1-01;Vlan17;175.128.200.97;
AQUICFDZEUSR1-01;Vlan17;175.128.73.135;
AQUICFDZEUSR1-01;Vlan18;175.128.200.97;
AQUICFDZEUSR1-01;Vlan18;175.128.73.135;
AQUICFDZEUSR1-01;Vlan19;175.128.200.97;
AQUICFDZEUSR1-01;Vlan19;175.128.73.135;
AQUICFDZEUSR1-01;Vlan30;175.128.200.97;
AQUICFDZEUSR1-01;Vlan30;175.128.73.135;
AQUICFDZEUSR1-01;Vlan30;184.12.17.122;
AQUICFDZEUSR1-01;Vlan3001;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3001;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3002;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3002;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3003;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3003;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3004;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3004;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3005;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3005;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3006;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3006;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3007;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3007;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3008;175.128.200.97;
AQUICFDZEUSR1-01;Vlan3008;175.128.73.135;
AQUICFDZEUSR1-01;Vlan3009;175.128.200.97;
