hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;HARDWARE_TYPE;ADDRESS;BIA;DESCRIPTION;IP_ADDRESS;MTU;DUPLEX;SPEED;BANDWIDTH;DELAY;ENCAPSULATION;
;mgmt0;up;;GigabitEthernet;3c0e.23c5.a8a7;3c0e.23c5.a8a7;;192.0.12.20/24;1500;full-duplex;1000 Mb/s;1000000 Kbit;10 usec;ARPA;
;Ethernet1/1;up;up;1000/10000 Ethernet;544a.00ad.77b8;544a.00ad.77b8;<>To_ORI-A1_Te2/5;;1500;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/2;down (Administratively down);down;1000/10000 Ethernet;544a.00ad.77b9;544a.00ad.77b9;<*> AQUICFDZEUSR1-02_Eth1/2;;9216;auto-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/3;down (Administratively down);down;1000/10000 Ethernet;544a.00ad.77ba;544a.00ad.77ba;<*> AQUICFDZEUSR1-02_Eth1/3;;9216;auto-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/4;up;up;1000/10000 Ethernet;544a.00ad.77bb;544a.00ad.77bb;<*> AQUICLSZEUSR1-05_Eth1/14;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/5;up;up;1000/10000 Ethernet;544a.00ad.77bc;544a.00ad.77bc;<*> AQUICLSZEUSR1-06_Eth1/14;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/6;up;up;1000/10000 Ethernet;544a.00ad.77bd;544a.00ad.77bd;<*> AQUICLSZEUSR1-03_Eth2/14;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/7;up;up;1000/10000 Ethernet;544a.00ad.77be;544a.00ad.77be;<*> AQUICLSZEUSR1-04_Eth2/14;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/8;up;up;1000/10000 Ethernet;544a.00ad.77bf;544a.00ad.77bf;<> To_AQUIZEUSR1-01_Eth2/12;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/9;up;up;1000/10000 Ethernet;544a.00ad.77c0;544a.00ad.77c0;<> To_AQUIZEUSR1-02_Eth2/12;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/10;up;up;1000/10000 Ethernet;544a.00ad.77c1;544a.00ad.77c1;SIGMA_IDS _AQUIR1-MATRIXG-01;;1500;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/11;up;up;1000/10000 Ethernet;544a.00ad.77c2;544a.00ad.77c2;SIGMA_IDS _AQUIR1-MATRIXG-01;;1500;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/12;up;up;1000/10000 Ethernet;544a.00ad.77c3;544a.00ad.77c3;SIGMA_IDS _AQUIR1-MATRIXG-01;;1500;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/13;up;up;1000/10000 Ethernet;544a.00ad.77c4;544a.00ad.77c4;<*> AQUIR1-MKTPROD-CLS-N-FXP101_Eth1/49;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/14;up;up;1000/10000 Ethernet;544a.00ad.77c5;544a.00ad.77c5;<*> AQUIR1-MKTPROD-CLS-N-FXP102_Eth1/49;;9216;full-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/15;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77c6;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/16;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77c7;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/17;down (Administratively down);down;1000/10000 Ethernet;544a.00ad.77c8;544a.00ad.77c8;<*> AQUICFDZEUSR1-02_Eth1/17;;9216;auto-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/18;down (Administratively down);down;1000/10000 Ethernet;544a.00ad.77c9;544a.00ad.77c9;<*> AQUICFDZEUSR1-02_Eth1/18;;9216;auto-duplex;10 Gb/s;10000000 Kbit;10 usec;ARPA;
;Ethernet1/19;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77ca;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/20;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77cb;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/21;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77cc;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/22;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77cd;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/23;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77ce;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/24;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77cf;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/25;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d0;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/26;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d1;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/27;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d2;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/28;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d3;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/29;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d4;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/30;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d5;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/31;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fc42;544a.00ad.77d6;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
