hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
AQUICFDZEUSR1-01;mgmt0;up;;;192.0.12.20/24;
AQUICFDZEUSR1-01;Ethernet1/1;up;up;<>To_ORI-A1_Te2/5;;
AQUICFDZEUSR1-01;Ethernet1/2;down (Administratively down);down;<*> AQUICFDZEUSR1-02_Eth1/2;;
AQUICFDZEUSR1-01;Ethernet1/3;down (Administratively down);down;<*> AQUICFDZEUSR1-02_Eth1/3;;
AQUICFDZEUSR1-01;Ethernet1/4;up;up;<*> AQUICLSZEUSR1-05_Eth1/14;;
AQUICFDZEUSR1-01;Ethernet1/5;up;up;<*> AQUICLSZEUSR1-06_Eth1/14;;
AQUICFDZEUSR1-01;Ethernet1/6;up;up;<*> AQUICLSZEUSR1-03_Eth2/14;;
AQUICFDZEUSR1-01;Ethernet1/7;up;up;<*> AQUICLSZEUSR1-04_Eth2/14;;
AQUICFDZEUSR1-01;Ethernet1/8;up;up;<> To_AQUIZEUSR1-01_Eth2/12;;
AQUICFDZEUSR1-01;Ethernet1/9;up;up;<> To_AQUIZEUSR1-02_Eth2/12;;
AQUICFDZEUSR1-01;Ethernet1/10;up;up;SIGMA_IDS _AQUIR1-MATRIXG-01;;
AQUICFDZEUSR1-01;Ethernet1/11;up;up;SIGMA_IDS _AQUIR1-MATRIXG-01;;
AQUICFDZEUSR1-01;Ethernet1/12;up;up;SIGMA_IDS _AQUIR1-MATRIXG-01;;
AQUICFDZEUSR1-01;Ethernet1/13;up;up;<*> AQUIR1-MKTPROD-CLS-N-FXP101_Eth1/49;;
AQUICFDZEUSR1-01;Ethernet1/14;up;up;<*> AQUIR1-MKTPROD-CLS-N-FXP102_Eth1/49;;
AQUICFDZEUSR1-01;Ethernet1/15;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/16;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/17;down (Administratively down);down;<*> AQUICFDZEUSR1-02_Eth1/17;;
AQUICFDZEUSR1-01;Ethernet1/18;down (Administratively down);down;<*> AQUICFDZEUSR1-02_Eth1/18;;
AQUICFDZEUSR1-01;Ethernet1/19;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/20;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/21;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/22;down (Administratively down);down;;;
AQUICFDZEUSR1-01;Ethernet1/23;down (Administratively down);down;;;
AQUICFDZEUSR1-01;Ethernet1/24;down (Administratively down);down;;;
AQUICFDZEUSR1-01;Ethernet1/25;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/26;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/27;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/28;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/29;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/30;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/31;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/32;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/33;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/34;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/35;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/36;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/37;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/38;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/39;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/40;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/41;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/42;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/43;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/44;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/45;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/46;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/47;down (SFP not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet1/48;down (Administratively down);down;;;
AQUICFDZEUSR1-01;Ethernet2/1;up;up;<*> AQUICFDZEUSR1-02_Eth2/1;;
AQUICFDZEUSR1-01;Ethernet2/2;down (Administratively down);down;RESERVED_FUTUR_L3BTOB;;
AQUICFDZEUSR1-01;Ethernet2/3;down (XCVR not inserted);down;RESERVED;;
AQUICFDZEUSR1-01;Ethernet2/4;down (XCVR not inserted);down;RESERVED;;
AQUICFDZEUSR1-01;Ethernet2/5;up;up;<*> AQUICLSZEUSR1-07_Eth2/3;;
AQUICFDZEUSR1-01;Ethernet2/6;up;up;<*> AQUICLSZEUSR1-08_Eth2/3;;
