hostname;PORT;NAME;STATUS;VLAN;DUPLEX;SPEED;TYPE;
AQUICFDZEUSR1-01;mgmt0;--;connected;routed;full;a-1000;--;
AQUICFDZEUSR1-01;Eth1/1;<>To_ORI-A1_Te2;connected;trunk;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/2;<*> AQUICFDZEUS disabled;trunk;auto;auto;;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/3;<*> AQUICFDZEUS disabled;trunk;auto;auto;;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/4           <*>;AQUICLSZEUS;connected;trunk;full;10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/5           <*>;AQUICLSZEUS;connected;trunk;full;10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/6           <*>;AQUICLSZEUS;connected;trunk;full;10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/7           <*>;AQUICLSZEUS;connected;trunk;full;10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/8           <>;To_AQUIZEUSR;connected;trunk;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/9           <>;To_AQUIZEUSR;connected;trunk;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/10          SIGMA_IDS;_AQUI;connected;1;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/11          SIGMA_IDS;_AQUI;connected;1;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/12          SIGMA_IDS;_AQUI;connected;1;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/13          <*>;AQUIR1-MKTP;connected;trunk;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/14          <*>;AQUIR1-MKTP;connected;trunk;full;a-10G;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/15;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/16;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/17;<*> AQUICFDZEUS disabled;trunk;auto;auto;;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/18;<*> AQUICFDZEUS disabled;trunk;auto;auto;;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/19;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/20;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/21;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/22;--;disabled;routed;auto;auto;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/23;--;disabled;routed;auto;auto;10Gbase-SR;
AQUICFDZEUSR1-01;Eth1/24;--;disabled;routed;auto;auto;1000base-SX;
AQUICFDZEUSR1-01;Eth1/25;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/26;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/27;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/28;--;sfpAbsent;routed;auto;auto;--;
AQUICFDZEUSR1-01;Eth1/29;--;sfpAbsent;routed;auto;auto;--;
