hostname;INTERFACE;DESCRIPTION;VRF;IP_ADDRESS;
AQUICFDZEUSR1-01;mgmt0;;management;192.0.12.20/24;
AQUICFDZEUSR1-01;Vlan10;;PZEUS;175.128.79.252/21;
AQUICFDZEUSR1-01;Vlan11;;PZEUS;175.192.79.252/21;
AQUICFDZEUSR1-01;Vlan12;;PZEUS;175.224.79.252/21;
AQUICFDZEUSR1-01;Vlan15;;PZEUS;175.56.71.253/21;
AQUICFDZEUSR1-01;Vlan16;;PZEUS;175.56.79.253/21;
AQUICFDZEUSR1-01;Vlan17;;PZEUS;175.56.87.253/21;
AQUICFDZEUSR1-01;Vlan18;;PZEUS;175.56.95.253/21;
AQUICFDZEUSR1-01;Vlan19;;PZEUS;175.56.103.253/21;
AQUICFDZEUSR1-01;Vlan20;;RVP_PRVSHAREDSERVICES;174.129.8.252/24;
AQUICFDZEUSR1-01;Vlan22;ADMIN_NAS;PZEUS;10.0.64.1/21;
AQUICFDZEUSR1-01;Vlan23;PZEUS_NonRouted_Antivirus - KEEP SHUT L2 ONLY;PZEUS;175.128.87.252/21;
AQUICFDZEUSR1-01;Vlan30;PZEUS_STD_FO_VARONIS_AQUI;RVP_RUS;173.1.193.252/24;
AQUICFDZEUSR1-01;Vlan995;HDI_AGILE_MARK_AQUILLA;;192.0.15.163/27;
AQUICFDZEUSR1-01;Vlan2501;Int_Admin_NOOBA_IB;RVP_PRVSHAREDSERVICES;192.4.148.1/30;
AQUICFDZEUSR1-01;Vlan2503;PRVSHAREDSERVICES_To_ORI-A1;RVP_PRVSHAREDSERVICES;192.4.148.9/30;
AQUICFDZEUSR1-01;Vlan3001;PRVSHAREDSERVICES_To_AQUIZEUSR1-02;RVP_RUS;173.1.65.252/23;
AQUICFDZEUSR1-01;Vlan3002;OUTSOURCING_SERVICES;RVP_RUS;173.1.67.252/23;
AQUICFDZEUSR1-01;Vlan3003;OUTSOURCING_SERVICES;RVP_RUS;173.1.69.252/23;
AQUICFDZEUSR1-01;Vlan3004;OUTSOURCING_SERVICES;RVP_RUS;173.1.71.252/23;
AQUICFDZEUSR1-01;Vlan3005;OUTSOURCING_SERVICES;RVP_RUS;173.1.73.252/23;
AQUICFDZEUSR1-01;Vlan3006;OUTSOURCING_SERVICES;RVP_RUS;173.1.75.252/23;
AQUICFDZEUSR1-01;Vlan3007;OUTSOURCING_SERVICES;RVP_RUS;173.1.77.252/23;
AQUICFDZEUSR1-01;Vlan3008;OUTSOURCING_SERVICES;RVP_RUS;173.1.79.252/23;
AQUICFDZEUSR1-01;Vlan3009;OUTSOURCING_SERVICES;RVP_RUS;173.1.81.252/23;
AQUICFDZEUSR1-01;Vlan3010;OUTSOURCING_SERVICES;RVP_RUS;173.1.83.252/23;
AQUICFDZEUSR1-01;Vlan3011;OUTSOURCING_SERVICES;RVP_RUS;173.1.85.252/23;
AQUICFDZEUSR1-01;Vlan3012;OUTSOURCING_SERVICES;RVP_RUS;173.1.87.252/23;
AQUICFDZEUSR1-01;Vlan3013;OUTSOURCING_SERVICES;RVP_RUS;173.1.89.253/23;
AQUICFDZEUSR1-01;Vlan3014;OUTSOURCING_PROVIDER13_AQUI;RVP_RUS;173.1.91.253/23;
AQUICFDZEUSR1-01;Vlan3015;OUTSOURCING_GIMS-SGGSC1_AQUI;RVP_RUS;173.1.93.253/23;
AQUICFDZEUSR1-01;Vlan3016;OUTSOURCING_GIMS-SGGSC2_AQUI;RVP_RUS;173.1.95.253/23;
AQUICFDZEUSR1-01;Vlan3017;OUTSOURCING_PROVIDER16_AQUI;RVP_RUS;173.1.97.253/23;
AQUICFDZEUSR1-01;Vlan3018;OUTSOURCING_PROVIDER17_AQUI;RVP_RUS;173.1.99.253/23;
AQUICFDZEUSR1-01;Vlan3019;OUTSOURCING_PROVIDER18_AQUI;RVP_RUS;173.1.101.253/23;
AQUICFDZEUSR1-01;Vlan3020;OUTSOURCING_PROVIDER19_AQUI;RVP_RUS;173.1.103.253/23;
AQUICFDZEUSR1-01;Vlan3021;OUTSOURCING_PROVIDER20_AQUI;RVP_RUS;173.1.105.253/23;
AQUICFDZEUSR1-01;Vlan3022;OUTSOURCING_PROVIDER21_AQUI;RVP_RUS;173.1.107.253/23;
AQUICFDZEUSR1-01;Vlan3023;OUTSOURCING_PROVIDER22_AQUI;RVP_RUS;173.1.109.253/23;
AQUICFDZEUSR1-01;Vlan3024;OUTSOURCING_PROVIDER23_AQUI;RVP_RUS;173.1.111.253/23;
AQUICFDZEUSR1-01;Vlan3025;OUTSOURCING_PROVIDER24_AQUI;RVP_RUS;173.1.113.253/23;
AQUICFDZEUSR1-01;Vlan3026;OUTSOURCING_PROVIDER25_AQUI;RVP_RUS;173.1.115.253/23;
AQUICFDZEUSR1-01;Vlan3027;OUTSOURCING_PROVIDER26_AQUI;RVP_RUS;173.1.117.253/23;
AQUICFDZEUSR1-01;Vlan3028;OUTSOURCING_PROVIDER27_AQUI;RVP_RUS;173.1.119.253/23;
AQUICFDZEUSR1-01;Vlan3029;OUTSOURCING_PROVIDER28_AQUI;RVP_RUS;173.1.121.253/23;
AQUICFDZEUSR1-01;Vlan3030;OUTSOURCING_PROVIDER29_AQUI;RVP_RUS;173.1.123.253/23;
AQUICFDZEUSR1-01;Vlan3031;OUTSOURCING_PROVIDER30_AQUI;RVP_RUS;173.1.125.253/23;
AQUICFDZEUSR1-01;Vlan3032;OUTSOURCING_PROVIDER31_AQUI;RVP_RUS;173.1.127.253/23;
AQUICFDZEUSR1-01;Vlan3033;OUTSOURCING_PROVIDER32_AQUI;RVP_RUS;173.3.135.253/21;
AQUICFDZEUSR1-01;Vlan3034;OUTSOURCING_PROVIDER33_AQUILA;RVP_RUS;173.3.143.253/21;
AQUICFDZEUSR1-01;Vlan3035;OUTSOURCING_PROVIDER34_AQUILA;RVP_RUS;173.3.151.253/21;
AQUICFDZEUSR1-01;Vlan3036;OUTSOURCING_PROVIDER35_AQUILA;RVP_RUS;173.3.159.253/21;
AQUICFDZEUSR1-01;Vlan3037;OUTSOURCING_PROVIDER36_AQUILA;RVP_RUS;173.3.167.253/21;
AQUICFDZEUSR1-01;Vlan3038;OUTSOURCING_PROVIDER37_AQUILA;RVP_RUS;173.3.175.253/21;
AQUICFDZEUSR1-01;Vlan3039;OUTSOURCING_PROVIDER38_AQUILA;RVP_RUS;173.3.183.253/21;
AQUICFDZEUSR1-01;Vlan3040;OUTSOURCING_PROVIDER39_AQUILA;RVP_RUS;173.3.191.253/21;
AQUICFDZEUSR1-01;Vlan3041;OUTSOURCING_PROVIDER40_AQUILA;RVP_RUS;173.3.199.253/21;
AQUICFDZEUSR1-01;Vlan3042;OUTSOURCING_PROVIDER41_AQUILA;RVP_RUS;173.3.207.253/21;
AQUICFDZEUSR1-01;Vlan3043;OUTSOURCING_PROVIDER42_AQUILA;RVP_RUS;173.3.215.253/21;
AQUICFDZEUSR1-01;Vlan3044;OUTSOURCING_PROVIDER43_AQUILA;RVP_RUS;173.3.223.253/21;
