hostname;VLAN;IP;MAC;
AQUICFDZEUSR1-01;Vlan10;175.128.79.254;0000.5e00.010a;
AQUICFDZEUSR1-01;Vlan11;175.192.79.254;0000.5e00.010b;
AQUICFDZEUSR1-01;Vlan12;175.224.79.254;0000.5e00.010c;
AQUICFDZEUSR1-01;Vlan15;175.56.71.254;0000.5e00.010f;
AQUICFDZEUSR1-01;Vlan16;175.56.79.254;0000.5e00.0110;
AQUICFDZEUSR1-01;Vlan17;175.56.87.254;0000.5e00.0111;
AQUICFDZEUSR1-01;Vlan18;175.56.95.254;0000.5e00.0112;
AQUICFDZEUSR1-01;Vlan19;175.56.103.254;0000.5e00.0113;
AQUICFDZEUSR1-01;Vlan20;174.129.8.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan23;175.128.87.254;0000.5e00.0117;
AQUICFDZEUSR1-01;Vlan30;173.1.193.254;0000.5e00.011e;
AQUICFDZEUSR1-01;Vlan3001;173.1.65.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3002;173.1.67.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3003;173.1.69.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3004;173.1.71.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3005;173.1.73.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3006;173.1.75.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3007;173.1.77.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3008;173.1.79.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3009;173.1.81.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3010;173.1.83.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3011;173.1.85.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3012;173.1.87.254;0000.5e00.0114;
AQUICFDZEUSR1-01;Vlan3013;173.1.89.254;0000.5e00.0101;
AQUICFDZEUSR1-01;Vlan3014;173.1.91.254;0000.5e00.0101;
AQUICFDZEUSR1-01;Vlan3015;173.1.93.254;0000.5e00.0101;
