hostname;VLAN;IP;MAC;
DC2CFDZEUSA2-02;Vlan10;175.128.15.254;0000.0c07.ac0a (Default MAC);
DC2CFDZEUSA2-02;Vlan11;175.192.15.254;0000.0c07.ac0b (Default MAC);
DC2CFDZEUSA2-02;Vlan12;175.224.15.254;0000.0c07.ac0c (Default MAC);
DC2CFDZEUSA2-02;Vlan15;175.56.7.254;0000.0c07.ac0f (Default MAC);
DC2CFDZEUSA2-02;Vlan16;175.56.15.254;0000.0c07.ac10 (Default MAC);
DC2CFDZEUSA2-02;Vlan17;175.56.23.254;0000.0c07.ac11 (Default MAC);
DC2CFDZEUSA2-02;Vlan18;175.56.31.254;0000.0c07.ac12 (Default MAC);
DC2CFDZEUSA2-02;Vlan19;175.56.39.254;0000.0c07.ac13 (Default MAC);
DC2CFDZEUSA2-02;Vlan20;174.129.0.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan23;175.128.23.254;0000.0c07.ac17 (Default MAC);
DC2CFDZEUSA2-02;Vlan24;184.36.1.1;0000.0c07.ac18 (Default MAC);
DC2CFDZEUSA2-02;Vlan25;193.105.135.254;0000.0c07.ac19 (Default MAC);
DC2CFDZEUSA2-02;Vlan30;173.1.192.254;0000.0c07.ac1e (Default MAC);
DC2CFDZEUSA2-02;Vlan51;192.131.56.17;0000.0c07.ac33 (Default MAC);
DC2CFDZEUSA2-02;Vlan53;192.131.56.1;0000.0c07.ac35 (Default MAC);
DC2CFDZEUSA2-02;Vlan168;192.16.240.30;0000.0c07.aca8 (Default MAC);
DC2CFDZEUSA2-02;Vlan995;192.0.21.62;0000.0c07.ac00 (Default MAC);
DC2CFDZEUSA2-02;Vlan1200;175.0.0.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan1201;175.0.1.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan1202;175.0.2.6;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan1820;193.109.0.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3001;173.1.1.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3002;173.1.3.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3003;173.1.5.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3004;173.1.7.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3005;173.1.9.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3006;173.1.11.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3007;173.1.13.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3008;173.1.15.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3009;173.1.17.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3010;173.1.19.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3011;173.1.21.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3012;173.1.23.254;0000.0c07.ac14 (Default MAC);
DC2CFDZEUSA2-02;Vlan3013;173.1.25.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3014;173.1.27.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3015;173.1.29.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3016;173.1.31.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3017;173.1.33.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3018;173.1.35.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3019;173.1.37.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3020;173.1.39.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3021;173.1.41.254;0000.0c07.ac01 (Default MAC);
DC2CFDZEUSA2-02;Vlan3022;173.1.43.254;0000.0c07.ac01 (Default MAC);
